年分,月份,縣市別,鄉鎮別,性別,戶數,人口數
113,1,臺北市,中正區,男,"65,509","70,868"
113,1,臺北市,中正區,女,"65,509","79,286"
113,1,臺北市,大同區,男,"53,185","57,489"
113,1,臺北市,大同區,女,"53,185","62,468"
113,1,臺北市,萬華區,男,"79,424","83,987"
113,1,臺北市,萬華區,女,"79,424","89,444"
113,1,臺北市,文山區,男,"108,657","123,605"
113,1,臺北市,文山區,女,"108,657","136,693"
113,1,臺北市,南港區,男,"48,266","54,974"
113,1,臺北市,南港區,女,"48,266","58,919"
113,1,臺北市,內湖區,男,"111,500","130,565"
113,1,臺北市,內湖區,女,"111,500","145,608"
113,1,臺北市,士林區,男,"108,174","127,765"
113,1,臺北市,士林區,女,"108,174","139,076"
113,1,臺北市,北投區,男,"99,294","115,468"
113,1,臺北市,北投區,女,"99,294","126,911"
113,1,桃園市,總計,男,"905,018","1,143,524"
113,1,桃園市,總計,女,"905,018","1,175,594"
113,1,桃園市,桃園區,男,"191,195","226,483"
113,1,桃園市,桃園區,女,"191,195","244,701"
113,1,桃園市,中壢區,男,"172,706","210,436"
113,1,桃園市,中壢區,女,"172,706","221,150"
113,1,桃園市,大溪區,男,"35,373","47,917"
113,1,桃園市,大溪區,女,"35,373","46,717"
113,1,桃園市,楊梅區,男,"67,479","89,890"
113,1,桃園市,楊梅區,女,"67,479","90,231"
113,1,桃園市,蘆竹區,男,"63,955","83,518"
113,1,桃園市,蘆竹區,女,"63,955","85,731"
113,1,桃園市,大園區,男,"33,640","43,904"
113,1,桃園市,大園區,女,"33,640","42,794"
113,1,桃園市,龜山區,男,"76,476","88,128"
113,1,桃園市,龜山區,女,"76,476","90,474"
113,1,桃園市,八德區,男,"81,656","105,768"
113,1,桃園市,八德區,女,"81,656","107,852"
113,1,桃園市,龍潭區,男,"47,154","62,805"
113,1,桃園市,龍潭區,女,"47,154","63,843"
113,1,桃園市,平鎮區,男,"84,838","113,250"
113,1,桃園市,平鎮區,女,"84,838","116,465"
113,1,桃園市,新屋區,男,"18,178","26,039"
113,1,桃園市,新屋區,女,"18,178","23,196"
113,1,桃園市,觀音區,男,"28,373","38,452"
113,1,桃園市,觀音區,女,"28,373","36,153"
113,1,桃園市,復興區,男,"3,995","6,934"
113,1,桃園市,復興區,女,"3,995","6,287"
113,1,臺中市,總計,男,"1,061,552","1,392,198"
113,1,臺中市,總計,女,"1,061,552","1,455,066"
113,1,臺中市,中　區,男,"8,243","8,722"
113,1,臺中市,中　區,女,"8,243","9,081"
113,1,臺中市,東　區,男,"30,765","37,873"
113,1,臺中市,東　區,女,"30,765","39,050"
113,1,臺中市,南　區,男,"52,169","60,471"
113,1,臺中市,南　區,女,"52,169","66,483"
113,1,臺中市,西　區,男,"47,377","53,496"
113,1,臺中市,西　區,女,"47,377","60,177"
113,1,臺中市,北　區,男,"62,274","68,301"
113,1,臺中市,北　區,女,"62,274","75,735"
113,1,臺中市,西屯區,男,"95,147","112,186"
113,1,臺中市,西屯區,女,"95,147","123,417"
113,1,臺中市,南屯區,男,"72,157","86,603"
113,1,臺中市,南屯區,女,"72,157","95,818"
113,1,臺中市,北屯區,男,"120,786","144,674"
113,1,臺中市,北屯區,女,"120,786","160,112"
113,1,臺中市,豐原區,男,"56,673","80,520"
113,1,臺中市,豐原區,女,"56,673","83,396"
113,1,臺中市,東勢區,男,"17,637","24,094"
113,1,臺中市,東勢區,女,"17,637","23,281"
113,1,臺中市,大甲區,男,"24,681","37,369"
113,1,臺中市,大甲區,女,"24,681","37,304"
113,1,臺中市,清水區,男,"32,229","45,788"
113,1,臺中市,清水區,女,"32,229","44,133"
113,1,臺中市,沙鹿區,男,"34,183","49,509"
113,1,臺中市,沙鹿區,女,"34,183","49,429"
113,1,臺中市,梧棲區,男,"20,803","30,559"
113,1,臺中市,梧棲區,女,"20,803","30,565"
113,1,臺中市,后里區,男,"17,395","26,899"
113,1,臺中市,后里區,女,"17,395","26,680"
113,1,臺中市,神岡區,男,"20,798","32,749"
113,1,臺中市,神岡區,女,"20,798","31,605"
113,1,臺中市,潭子區,男,"38,759","53,602"
113,1,臺中市,潭子區,女,"38,759","55,366"
113,1,臺中市,大雅區,男,"31,695","47,461"
113,1,臺中市,大雅區,女,"31,695","48,199"
113,1,臺中市,新社區,男,"7,892","11,902"
113,1,臺中市,新社區,女,"7,892","11,167"
113,1,臺中市,石岡區,男,"4,946","7,271"
113,1,臺中市,石岡區,女,"4,946","6,827"
113,1,臺中市,外埔區,男,"10,204","15,919"
113,1,臺中市,外埔區,女,"10,204","15,239"
113,1,臺中市,大安區,男,"5,739","9,488"
113,1,臺中市,大安區,女,"5,739","8,558"
113,1,臺中市,烏日區,男,"29,966","39,814"
113,1,臺中市,烏日區,女,"29,966","40,441"
113,1,臺中市,大肚區,男,"19,108","28,439"
113,1,臺中市,大肚區,女,"19,108","27,487"
113,1,臺中市,龍井區,男,"25,912","39,353"
113,1,臺中市,龍井區,女,"25,912","39,107"
113,1,臺中市,霧峰區,男,"21,488","32,253"
113,1,臺中市,霧峰區,女,"21,488","31,580"
113,1,臺中市,太平區,男,"72,327","97,579"
113,1,臺中市,太平區,女,"72,327","100,841"
113,1,臺中市,大里區,男,"75,473","103,555"
113,1,臺中市,大里區,女,"75,473","108,947"
113,1,臺中市,和平區,男,"4,726","5,749"
113,1,臺中市,和平區,女,"4,726","5,041"
113,1,臺南市,總計,男,"727,671","923,061"
113,1,臺南市,總計,女,"727,671","936,739"
113,1,臺南市,新營區,男,"30,143","36,821"
113,1,臺南市,新營區,女,"30,143","38,144"
113,1,臺南市,鹽水區,男,"10,180","12,599"
113,1,臺南市,鹽水區,女,"10,180","11,640"
113,1,臺南市,白河區,男,"10,538","13,445"
113,1,臺南市,白河區,女,"10,538","12,373"
113,1,臺南市,柳營區,男,"8,075","10,560"
113,1,臺南市,柳營區,女,"8,075","9,697"
113,1,臺南市,後壁區,男,"8,699","11,128"
113,1,臺南市,後壁區,女,"8,699","10,444"
113,1,臺南市,東山區,男,"8,043","10,186"
113,1,臺南市,東山區,女,"8,043","8,928"
113,1,臺南市,麻豆區,男,"16,542","21,767"
113,1,臺南市,麻豆區,女,"16,542","21,267"
113,1,臺南市,下營區,男,"9,362","11,556"
113,1,臺南市,下營區,女,"9,362","10,840"
113,1,臺南市,六甲區,男,"8,133","10,916"
113,1,臺南市,六甲區,女,"8,133","10,258"
113,1,臺南市,官田區,男,"8,263","10,633"
113,1,臺南市,官田區,女,"8,263","10,203"
113,1,臺南市,大內區,男,"3,631","4,679"
113,1,臺南市,大內區,女,"3,631","4,033"
113,1,臺南市,佳里區,男,"21,971","28,694"
113,1,臺南市,佳里區,女,"21,971","29,532"
113,1,臺南市,學甲區,男,"9,890","12,626"
113,1,臺南市,學甲區,女,"9,890","12,022"
113,1,臺南市,西港區,男,"9,095","12,596"
113,1,臺南市,西港區,女,"9,095","12,405"
113,1,臺南市,七股區,男,"7,925","10,989"
113,1,臺南市,七股區,女,"7,925","10,245"
113,1,臺南市,將軍區,男,"7,055","9,296"
113,1,臺南市,將軍區,女,"7,055","8,930"
113,1,臺南市,北門區,男,"3,996","5,019"
113,1,臺南市,北門區,女,"3,996","4,956"
113,1,臺南市,新化區,男,"15,340","21,638"
113,1,臺南市,新化區,女,"15,340","21,146"
113,1,臺南市,善化區,男,"20,727","26,325"
113,1,臺南市,善化區,女,"20,727","26,146"
113,1,高雄市,總計,男,"1,151,308","1,342,653"
113,1,高雄市,總計,女,"1,151,308","1,394,877"
113,1,高雄市,鹽埕區,男,"10,834","11,048"
113,1,高雄市,鹽埕區,女,"10,834","11,510"
113,1,高雄市,鼓山區,男,"61,301","67,167"
113,1,高雄市,鼓山區,女,"61,301","73,590"
113,1,高雄市,左營區,男,"83,747","93,676"
113,1,高雄市,左營區,女,"83,747","103,697"
113,1,高雄市,楠梓區,男,"79,382","94,077"
113,1,高雄市,楠梓區,女,"79,382","99,085"
113,1,高雄市,三民區,男,"142,408","158,810"
113,1,高雄市,三民區,女,"142,408","173,080"
113,1,高雄市,新興區,男,"23,600","23,571"
113,1,高雄市,新興區,女,"23,600","26,041"
113,1,高雄市,前金區,男,"13,894","12,656"
113,1,高雄市,前金區,女,"13,894","14,447"
113,1,高雄市,苓雅區,男,"74,328","77,808"
113,1,高雄市,苓雅區,女,"74,328","86,033"
113,1,高雄市,前鎮區,男,"79,804","87,692"
113,1,高雄市,前鎮區,女,"79,804","91,989"
113,1,高雄市,旗津區,男,"10,706","13,369"
113,1,高雄市,旗津區,女,"10,706","12,798"
113,1,高雄市,小港區,男,"70,315","76,251"
113,1,高雄市,小港區,女,"70,315","78,775"
113,1,高雄市,鳳山區,男,"148,448","173,107"
113,1,高雄市,鳳山區,女,"148,448","183,296"
113,1,高雄市,林園區,男,"27,371","34,109"
113,1,高雄市,林園區,女,"27,371","34,059"
113,1,高雄市,大寮區,男,"44,933","56,805"
113,1,高雄市,大寮區,女,"44,933","55,224"
113,1,高雄市,大樹區,男,"14,209","20,592"
113,1,高雄市,大樹區,女,"14,209","19,848"
113,1,高雄市,大社區,男,"13,561","17,032"
113,1,高雄市,大社區,女,"13,561","16,648"
113,1,高雄市,仁武區,男,"40,844","48,944"
113,1,高雄市,仁武區,女,"40,844","48,527"
113,1,高雄市,鳥松區,男,"19,744","22,281"
113,1,高雄市,鳥松區,女,"19,744","22,140"
113,1,高雄市,岡山區,男,"36,203","47,037"
113,1,高雄市,岡山區,女,"36,203","48,492"
113,1,高雄市,橋頭區,男,"17,395","20,873"
113,1,高雄市,橋頭區,女,"17,395","20,934"
113,1,高雄市,燕巢區,男,"10,977","15,048"
113,1,高雄市,燕巢區,女,"10,977","13,696"
113,1,高雄市,田寮區,男,"3,030","3,601"
113,1,高雄市,田寮區,女,"3,030","2,909"
113,1,高雄市,阿蓮區,男,"9,505","13,758"
113,1,高雄市,阿蓮區,女,"9,505","13,630"
113,1,高雄市,路竹區,男,"17,524","25,441"
113,1,高雄市,路竹區,女,"17,524","24,852"
113,1,高雄市,湖內區,男,"11,416","14,971"
113,1,高雄市,湖內區,女,"11,416","14,546"
113,1,高雄市,茄萣區,男,"10,709","14,903"
113,1,高雄市,茄萣區,女,"10,709","14,311"
113,1,高雄市,永安區,男,"5,833","6,907"
113,1,高雄市,永安區,女,"5,833","6,961"
113,1,高雄市,彌陀區,男,"6,883","9,293"
113,1,高雄市,彌陀區,女,"6,883","8,960"
113,1,高雄市,梓官區,男,"13,227","17,800"
113,1,高雄市,梓官區,女,"13,227","17,024"
113,1,高雄市,旗山區,男,"13,748","17,572"
113,1,高雄市,旗山區,女,"13,748","16,693"
113,1,高雄市,美濃區,男,"15,076","19,427"
113,1,高雄市,美濃區,女,"15,076","17,520"
113,1,高雄市,六龜區,男,"5,366","6,278"
113,1,高雄市,六龜區,女,"5,366","5,399"
113,1,高雄市,甲仙區,男,"2,279","2,911"
113,1,高雄市,甲仙區,女,"2,279","2,615"
113,1,高雄市,杉林區,男,"4,728","6,002"
113,1,高雄市,杉林區,女,"4,728","4,934"
113,1,高雄市,內門區,男,"5,095","7,085"
113,1,高雄市,內門區,女,"5,095","6,074"
113,1,高雄市,茂林區,男,626,931
113,1,高雄市,茂林區,女,626,966
113,1,高雄市,桃源區,男,"1,382","2,205"
113,1,高雄市,桃源區,女,"1,382","2,025"
113,1,高雄市,那瑪夏區,男,877,"1,615"
113,1,高雄市,那瑪夏區,女,877,"1,549"
113,1,宜蘭縣,總計,男,178774,225757
113,1,宜蘭縣,總計,女,178774,224010
113,1,宜蘭縣,宜蘭市,男,38334,46057
113,1,宜蘭縣,宜蘭市,女,38334,48926
113,1,宜蘭縣,羅東鎮,男,27034,32970
113,1,宜蘭縣,羅東鎮,女,27034,36999
113,1,宜蘭縣,蘇澳鎮,男,14522,18950
113,1,宜蘭縣,蘇澳鎮,女,14522,18436
113,1,宜蘭縣,頭城鎮,男,10739,14521
113,1,宜蘭縣,頭城鎮,女,10739,13739
113,1,宜蘭縣,礁溪鄉,男,15032,18086
113,1,宜蘭縣,礁溪鄉,女,15032,16885
113,1,宜蘭縣,壯圍鄉,男,9555,12702
113,1,宜蘭縣,壯圍鄉,女,9555,11628
113,1,宜蘭縣,員山鄉,男,12580,16918
113,1,宜蘭縣,員山鄉,女,12580,15218
113,1,宜蘭縣,冬山鄉,男,20857,26896
113,1,宜蘭縣,冬山鄉,女,20857,26395
113,1,宜蘭縣,五結鄉,男,16660,20843
113,1,宜蘭縣,五結鄉,女,16660,20223
113,1,宜蘭縣,三星鄉,男,9322,11469
113,1,宜蘭縣,三星鄉,女,9322,9780
113,1,宜蘭縣,大同鄉,男,2032,3243
113,1,宜蘭縣,大同鄉,女,2032,2784
113,1,宜蘭縣,南澳鄉,男,2107,3102
113,1,宜蘭縣,南澳鄉,女,2107,2997
113,1,新竹縣,總計,男,221304,300174
113,1,新竹縣,總計,女,221304,289614
113,1,新竹縣,竹北市,男,82361,107325
113,1,新竹縣,竹北市,女,82361,108943
113,1,新竹縣,關西鎮,男,9449,14394
113,1,新竹縣,關西鎮,女,9449,12386
113,1,新竹縣,新埔鎮,男,12385,17648
113,1,新竹縣,新埔鎮,女,12385,15586
113,1,新竹縣,竹東鎮,男,36692,48797
113,1,新竹縣,竹東鎮,女,36692,48247
113,1,新竹縣,湖口鄉,男,31412,41758
113,1,新竹縣,湖口鄉,女,31412,41004
113,1,新竹縣,橫山鄉,男,4385,6552
113,1,新竹縣,橫山鄉,女,4385,5626
113,1,新竹縣,新豐鄉,男,21111,30190
113,1,新竹縣,新豐鄉,女,21111,28785
113,1,新竹縣,芎林鄉,男,7496,10793
113,1,新竹縣,芎林鄉,女,7496,9590
113,1,新竹縣,寶山鄉,男,6116,7851
113,1,新竹縣,寶山鄉,女,6116,6644
113,1,新竹縣,北埔鄉,男,3092,4675
113,1,新竹縣,北埔鄉,女,3092,3842
113,1,新竹縣,峨眉鄉,男,2091,2834
113,1,新竹縣,峨眉鄉,女,2091,2340
113,1,新竹縣,尖石鄉,男,2958,4957
113,1,新竹縣,尖石鄉,女,2958,4580
113,1,新竹縣,五峰鄉,男,1756,2400
113,1,新竹縣,五峰鄉,女,1756,2041
113,1,苗栗縣,總計,男,199825,274819
113,1,苗栗縣,總計,女,199825,259613
113,1,苗栗縣,苗栗市,男,33228,42845
113,1,苗栗縣,苗栗市,女,33228,43531
113,1,苗栗縣,頭份市,男,39758,53490
113,1,苗栗縣,頭份市,女,39758,52955
113,1,苗栗縣,苑裡鎮,男,15538,22789
113,1,苗栗縣,苑裡鎮,女,15538,20907
113,1,苗栗縣,通霄鎮,男,11524,16588
113,1,苗栗縣,通霄鎮,女,11524,14684
113,1,苗栗縣,竹南鎮,男,33654,45121
113,1,苗栗縣,竹南鎮,女,33654,44651
113,1,苗栗縣,後龍鎮,男,12304,17965
113,1,苗栗縣,後龍鎮,女,12304,16109
113,1,苗栗縣,卓蘭鎮,男,5766,7939
113,1,苗栗縣,卓蘭鎮,女,5766,7230
113,1,苗栗縣,大湖鄉,男,5136,6927
113,1,苗栗縣,大湖鄉,女,5136,6003
113,1,苗栗縣,公館鄉,男,10974,16218
113,1,苗栗縣,公館鄉,女,10974,14983
113,1,苗栗縣,銅鑼鄉,男,6127,8753
113,1,苗栗縣,銅鑼鄉,女,6127,7724
113,1,苗栗縣,南庄鄉,男,3801,4874
113,1,苗栗縣,南庄鄉,女,3801,3954
113,1,苗栗縣,頭屋鄉,男,3644,5178
113,1,苗栗縣,頭屋鄉,女,3644,4585
113,1,苗栗縣,三義鄉,男,5631,7904
113,1,苗栗縣,三義鄉,女,5631,7016
113,1,苗栗縣,西湖鄉,男,2580,3507
113,1,苗栗縣,西湖鄉,女,2580,2727
113,1,苗栗縣,造橋鄉,男,4181,6182
113,1,苗栗縣,造橋鄉,女,4181,5413
113,1,苗栗縣,三灣鄉,男,2274,3258
113,1,苗栗縣,三灣鄉,女,2274,2700
113,1,苗栗縣,獅潭鄉,男,1725,2238
113,1,苗栗縣,獅潭鄉,女,1725,1849
113,1,苗栗縣,泰安鄉,男,1980,3043
113,1,苗栗縣,泰安鄉,女,1980,2592
113,1,彰化縣,總計,男,406548,627461
113,1,彰化縣,總計,女,406548,610299
113,1,彰化縣,彰化市,男,79568,110816
113,1,彰化縣,彰化市,女,79568,115090
113,1,彰化縣,員林市,男,42410,60528
113,1,彰化縣,員林市,女,42410,62409
113,1,彰化縣,鹿港鎮,男,25835,42758
113,1,彰化縣,鹿港鎮,女,25835,41808
113,1,彰化縣,和美鎮,男,28138,44729
113,1,彰化縣,和美鎮,女,28138,43239
113,1,彰化縣,北斗鎮,男,11476,16644
113,1,彰化縣,北斗鎮,女,11476,16627
113,1,彰化縣,溪湖鎮,男,17239,27210
113,1,彰化縣,溪湖鎮,女,17239,26636
113,1,彰化縣,田中鎮,男,13584,20051
113,1,彰化縣,田中鎮,女,13584,19218
113,1,彰化縣,二林鎮,男,15691,24489
113,1,彰化縣,二林鎮,女,15691,23301
113,1,彰化縣,線西鄉,男,4642,8320
113,1,彰化縣,線西鄉,女,4642,7874
113,1,彰化縣,伸港鄉,男,11283,19305
113,1,彰化縣,伸港鄉,女,11283,19193
113,1,彰化縣,福興鄉,男,13553,23522
113,1,彰化縣,福興鄉,女,13553,21606
113,1,彰化縣,秀水鄉,男,11482,19589
113,1,彰化縣,秀水鄉,女,11482,18528
113,1,彰化縣,花壇鄉,男,14688,22480
113,1,彰化縣,花壇鄉,女,14688,21374
113,1,彰化縣,芬園鄉,男,6879,11627
113,1,彰化縣,芬園鄉,女,6879,10534
113,1,彰化縣,大村鄉,男,12524,20298
113,1,彰化縣,大村鄉,女,12524,19749
113,1,彰化縣,埔鹽鄉,男,9456,16261
113,1,彰化縣,埔鹽鄉,女,9456,14761
113,1,彰化縣,埔心鄉,男,11273,17252
113,1,彰化縣,埔心鄉,女,11273,16331
113,1,彰化縣,永靖鄉,男,11339,18141
113,1,彰化縣,永靖鄉,女,11339,16978
113,1,彰化縣,社頭鄉,男,13545,21220
113,1,彰化縣,社頭鄉,女,13545,20129
113,1,彰化縣,二水鄉,男,5285,7291
113,1,彰化縣,二水鄉,女,5285,6545
113,1,彰化縣,田尾鄉,男,8349,13375
113,1,彰化縣,田尾鄉,女,8349,12488
113,1,彰化縣,埤頭鄉,男,9236,14909
113,1,彰化縣,埤頭鄉,女,9236,14025
113,1,彰化縣,芳苑鄉,男,10181,16449
113,1,彰化縣,芳苑鄉,女,10181,14632
113,1,彰化縣,大城鄉,男,5075,8065
113,1,彰化縣,大城鄉,女,5075,6900
113,1,彰化縣,竹塘鄉,男,4593,7475
113,1,彰化縣,竹塘鄉,女,4593,6808
113,1,彰化縣,溪州鄉,男,9224,14657
113,1,彰化縣,溪州鄉,女,9224,13516
113,1,南投縣,總計,男,180681,242735
113,1,南投縣,總計,女,180681,233940
113,1,南投縣,南投市,男,36138,48456
113,1,南投縣,南投市,女,36138,48972
113,1,南投縣,埔里鎮,男,29280,38068
113,1,南投縣,埔里鎮,女,29280,38906
113,1,南投縣,草屯鎮,男,35001,48647
113,1,南投縣,草屯鎮,女,35001,48498
113,1,南投縣,竹山鎮,男,20350,26140
113,1,南投縣,竹山鎮,女,20350,25208
113,1,南投縣,集集鎮,男,4193,5182
113,1,南投縣,集集鎮,女,4193,4733
113,1,南投縣,名間鄉,男,12639,18817
113,1,南投縣,名間鄉,女,12639,16902
113,1,南投縣,鹿谷鄉,男,7780,8610
113,1,南投縣,鹿谷鄉,女,7780,7534
113,1,南投縣,中寮鄉,男,5505,7404
113,1,南投縣,中寮鄉,女,5505,6115
113,1,南投縣,魚池鄉,男,5650,7703
113,1,南投縣,魚池鄉,女,5650,6965
113,1,南投縣,國姓鄉,男,7018,9100
113,1,南投縣,國姓鄉,女,7018,7730
113,1,南投縣,水里鄉,男,7001,8419
113,1,南投縣,水里鄉,女,7001,7634
113,1,南投縣,信義鄉,男,5263,8202
113,1,南投縣,信義鄉,女,5263,7182
113,1,南投縣,仁愛鄉,男,4863,7987
113,1,南投縣,仁愛鄉,女,4863,7561
113,1,雲林縣,總計,男,247188,339980
113,1,雲林縣,總計,女,247188,319584
113,1,雲林縣,斗六市,男,40841,53423
113,1,雲林縣,斗六市,女,40841,54834
113,1,雲林縣,斗南鎮,男,16610,21918
113,1,雲林縣,斗南鎮,女,16610,21363
113,1,雲林縣,虎尾鎮,男,26955,35397
113,1,雲林縣,虎尾鎮,女,26955,35075
113,1,雲林縣,西螺鎮,男,15470,22352
113,1,雲林縣,西螺鎮,女,15470,22150
113,1,雲林縣,土庫鎮,男,9760,14313
113,1,雲林縣,土庫鎮,女,9760,13196
113,1,雲林縣,北港鎮,男,16121,19334
113,1,雲林縣,北港鎮,女,16121,18189
113,1,雲林縣,古坑鄉,男,11527,15626
113,1,雲林縣,古坑鄉,女,11527,14229
113,1,雲林縣,大埤鄉,男,6640,9476
113,1,雲林縣,大埤鄉,女,6640,8429
113,1,雲林縣,莿桐鄉,男,9487,14231
113,1,雲林縣,莿桐鄉,女,9487,13142
113,1,雲林縣,林內鄉,男,6062,8696
113,1,雲林縣,林內鄉,女,6062,7933
113,1,雲林縣,二崙鄉,男,8937,13270
113,1,雲林縣,二崙鄉,女,8937,11554
113,1,雲林縣,崙背鄉,男,8665,12042
113,1,雲林縣,崙背鄉,女,8665,10788
113,1,雲林縣,麥寮鄉,男,15616,24493
113,1,雲林縣,麥寮鄉,女,15616,25043
113,1,雲林縣,東勢鄉,男,5700,7412
113,1,雲林縣,東勢鄉,女,5700,5972
113,1,雲林縣,褒忠鄉,男,4442,6368
113,1,雲林縣,褒忠鄉,女,4442,5512
113,1,雲林縣,臺西鄉,男,8364,11625
113,1,雲林縣,臺西鄉,女,8364,10114
113,1,雲林縣,元長鄉,男,8979,12780
113,1,雲林縣,元長鄉,女,8979,10587
113,1,雲林縣,四湖鄉,男,8440,11493
113,1,雲林縣,四湖鄉,女,8440,9524
113,1,雲林縣,口湖鄉,男,9175,13308
113,1,雲林縣,口湖鄉,女,9175,11657
113,1,雲林縣,水林鄉,男,9397,12423
113,1,雲林縣,水林鄉,女,9397,10293
113,1,嘉義縣,總計,男,186375,250498
113,1,嘉義縣,總計,女,186375,233404
113,1,嘉義縣,太保市,男,14493,19897
113,1,嘉義縣,太保市,女,14493,19416
113,1,嘉義縣,朴子市,男,16143,20393
113,1,嘉義縣,朴子市,女,16143,20240
113,1,嘉義縣,布袋鎮,男,9644,12519
113,1,嘉義縣,布袋鎮,女,9644,12053
113,1,嘉義縣,大林鎮,男,11653,15088
113,1,嘉義縣,大林鎮,女,11653,14687
113,1,嘉義縣,民雄鄉,男,26563,35701
113,1,嘉義縣,民雄鄉,女,26563,34494
113,1,嘉義縣,溪口鄉,男,5195,7072
113,1,嘉義縣,溪口鄉,女,5195,6152
113,1,嘉義縣,新港鄉,男,10883,15852
113,1,嘉義縣,新港鄉,女,10883,14188
113,1,嘉義縣,六腳鄉,男,8548,11091
113,1,嘉義縣,六腳鄉,女,8548,9756
113,1,嘉義縣,東石鄉,男,8883,12019
113,1,嘉義縣,東石鄉,女,8883,10687
113,1,嘉義縣,義竹鄉,男,7016,8651
113,1,嘉義縣,義竹鄉,女,7016,7933
113,1,嘉義縣,鹿草鄉,男,5748,7613
113,1,嘉義縣,鹿草鄉,女,5748,6491
113,1,嘉義縣,水上鄉,男,18809,24615
113,1,嘉義縣,水上鄉,女,18809,23081
113,1,嘉義縣,中埔鄉,男,16282,22074
113,1,嘉義縣,中埔鄉,女,16282,20560
113,1,嘉義縣,竹崎鄉,男,11737,17669
113,1,嘉義縣,竹崎鄉,女,11737,15551
113,1,嘉義縣,梅山鄉,男,6766,9440
113,1,嘉義縣,梅山鄉,女,6766,8348
113,1,嘉義縣,番路鄉,男,4252,5802
113,1,嘉義縣,番路鄉,女,4252,5039
113,1,嘉義縣,大埔鄉,男,1905,2244
113,1,嘉義縣,大埔鄉,女,1905,2188
113,1,嘉義縣,阿里山鄉,男,1855,2758
113,1,嘉義縣,阿里山鄉,女,1855,2540
113,1,屏東縣,總計,男,297924,402592
113,1,屏東縣,總計,女,297924,391922
113,1,屏東縣,屏東市,男,76555,94728
113,1,屏東縣,屏東市,女,76555,98916
